trait,n_samples_used,best_model,best_mean_R2,best_std_R2,second_best_model,second_best_mean_R2,delta_best_minus_second
Maltose,1005,RF_raw,0.8030218882671442,0.038826738619488,XGB_raw,0.7951002772504009,0.007921611016743269
Tunicamycin,1006,LASSO_pca,0.5786133415939642,0.0465469243283273,ENet_pca,0.5784084988009452,0.00020484279301891117
Neomycin,1005,LASSO_pca,0.5738441056660544,0.0426426308377579,ENet_pca,0.573735390360223,0.0001087153058313417
x4NQO,1005,XGB_raw,0.5712745983486958,0.0569390112715682,RF_raw,0.5373780621386124,0.03389653621008337
Lactose,1004,XGB_raw,0.542153655321644,0.0404013493516865,LASSO_pca,0.5301080523973988,0.012045602924245169
YPD,1006,XGB_raw,0.4828422954339947,0.0475901184502639,LASSO_pca,0.4779889309107386,0.004853364523256132
YNB,1006,LASSO_pca,0.4744792232732148,0.0486197070240208,ENet_pca,0.4733845610998877,0.001094662173327099
Magnesium_Sulfate,1006,XGB_raw,0.4438780160337241,0.0796707419118009,RF_raw,0.4083228638782722,0.03555515215545191
Cobalt_Chloride,1007,LASSO_pca,0.4212830952266492,0.0528887293911129,XGB_raw,0.4211790759194963,0.00010401930715286944
YPD:15C,1005,RF_raw,0.4162895729613872,0.0400254932428145,XGB_raw,0.4143019505607139,0.0019876224006732945
Menadione,1005,XGB_raw,0.4002053506349917,0.0495598885541606,RF_raw,0.3941299766559075,0.006075373979084198
E6_Berbamine,1005,LASSO_pca,0.3380424115358399,0.0686517100057185,ENet_pca,0.3378425373937332,0.00019987414210670407
